Kabupaten/Kota;BPR/S;LKM/S;Pegadaian;Bank;ATM;RS Umum;RS Swasta/Khusus;Puskesmas;Poliklinik (Klinik Pratama);Posyandu/Polindes;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB;Akademi;Politeknik;Sekolah Tinggi;Institut;Universitas;Jumlah Guru TK;Jumlah Guru KB;Jumlah Guru TPA;Jumlah Guru SPS;Jumlah Guru PKBM;Jumlah Guru SKB;Jumlah Guru SD;Jumlah Guru SMP;Jumlah Guru SMA;Jumlah Guru SMK;Jumlah Guru SLB;Pserta Didik TK;Pserta Didik KB;Pserta Didik TPA;Pserta Didik SPS;Pserta Didik PKBM;Pserta Didik SKB;Pserta Didik SD;Pserta Didik SMP;Pserta Didik SMA;Pserta Didik SMK;Pserta Didik SLB;Jumlah Penduduk;Kepadatan Penduduk;PDRB per Kapita;Tenaga Medis Dokter;Tenaga Medis Perawat;Tenaga Medis Bidan;Tenaga Medis Tenaga Kefarmasian;Tenaga Medis Tenaga Gizi;analisis proximity (jarak) ;Kepadatan Fasilitas Luas Wilayah Km2;Kepadatan Fasilitas Keuangan;Kepadatan Fasilitas Kesehatan;Kepadatan Fasilitas Pendidikan
Labuhan Batu;APBD;28,28;Rp411,520,566,664;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labuhan Batu;P-APBD;10,91;Rp158,819,638,000;Di bawah UU (kurang dari 20%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langkat;APBD;24,43;Rp486,844,791,708;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langkat;P-APBD;36,96;Rp102,466,052,945;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Padang Lawas Utara;APBD;28,57;Rp350,248,213,257;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Padang Lawas Utara;P-APBD;29;Rp374,424,205,815;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mandailing Natal;APBD;33,22;Rp636,334,909,074;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mandailing Natal;P-APBD;32,55;Rp669,855,990,207;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias Barat;APBD;32,03;Rp261,508,171,700;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias Selatan;APBD;27,46;Rp449,826,480,850;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
